,token,frequency,z-score,freq_ratio
954,perfect,692,0.053682494245822485,0.00021764982847495093
957,rush,329,0.053682494245822485,0.00010347802538765731
749,approve,357,0.053682494245822485,0.00011228466584618133
486,pocket,285,0.053682494245822485,8.963901895283384e-05
945,anticipate,267,0.053682494245822485,8.397760722949696e-05
701,around,1517,0.053682494245822485,0.000477131199127891
983,glitch,507,0.053682494245822485,0.0001594630968739886
786,contain,290,0.053682494245822485,9.121163332042741e-05
1020,neutralize,209,0.053682494245822485,6.573528056541147e-05
21,twice,507,0.053682494245822485,0.0001594630968739886
58,excuse,749,0.053682494245822485,0.0002355776322655177
772,hoax,639,0.053682494245822485,0.00020098011617845901
936,crony,337,0.053682494245822485,0.00010599420837580702
970,mcenany,393,0.053682494245822485,0.0001236074892928551
885,friday,458,0.053682494245822485,0.00014405147607157156
850,able,2268,0.053682494245822485,0.0007133378771404461
339,wide,2162,0.053682494245822485,0.0006799984525474623
353,due,2629,0.04769557077661916,0.0008268806344807022
249,wisconsin,1795,0.04769557077661916,0.0005645685579660938
236,hand,2113,0.046430601622218924,0.0006645868317450452
315,statement,2070,0.046430601622218924,0.0006510623481837405
205,not,5306,0.03389680908920485,0.001668858366890303
221,care,2010,0.021841881753601945,0.0006321909757726176
428,expose,7073,0.0136651759595866,0.0022246202843978725
529,end,3268,0.012453530124750093,0.0010278607506591614
658,suit,1027,0.012453530124750093,0.0003230149911037205
691,past,1462,0.012453530124750093,0.00045983244108436166
436,honest,1341,0.012453530124750093,0.0004217751733885971
67,dispute,1810,0.012453530124750093,0.0005692864010688745
941,kraken,723,0.012453530124750093,0.0002274000375540311
347,swing,2367,0.0028279902921721817,0.0007444756416187989
265,signature,2682,0.0028279902921721817,0.0008435503467771942
801,recount,3119,0.0028279902921721817,0.0009809968425048728
140,show,10330,-0.007464273234618634,0.003249021283448328
65,receive,2480,-0.011503565331005227,0.0007800167263264137
959,establish,794,-0.011503565331005227,0.00024973116157385987
117,well,6407,-0.01280280027302164,0.002015148050634408
298,order,3750,-0.01280280027302164,0.0011794607756951821
219,dem,7344,-0.03576945016431237,0.0023098559831214445
558,dump,1168,-0.04690470217846294,0.0003673627162698594
969,kayleigh,364,-0.04690470217846294,0.00011448632596081234
378,similar,486,-0.04690470217846294,0.0001528581165300956
394,miller,333,-0.04690470217846294,0.00010473611688173217
598,difference,561,-0.04690470217846294,0.00017644733204399924
263,odd,430,-0.04690470217846294,0.00013524483561304753
1029,butch,245,-0.04690470217846294,7.705810401208523e-05
909,oversee,525,-0.04690470217846294,0.0001651245085973255
1028,dugan,245,-0.04690470217846294,7.705810401208523e-05
327,interesting,829,-0.04690470217846294,0.0002607394621470149
750,community,586,-0.04690470217846294,0.00018431040388196713
851,scam,691,-0.04690470217846294,0.0002173353056014322
963,referral,453,-0.04690470217846294,0.000142478861703978
434,ramsland,332,-0.04690470217846294,0.00010442159400821345
447,record,1372,-0.06026402290746917,0.00043152538246767725
34,usps,927,-0.06026402290746917,0.000291562703751849
491,complicit,1218,-0.06026402290746917,0.00038308885994579514
663,home,1133,-0.06026402290746917,0.00035635441569670435
785,vs,678,-0.06026402290746917,0.00021324650824568891
420,trust,2361,-0.06515162026362879,0.0007425885043776866
574,either,1902,-0.07133465682803297,0.0005982225054325963
325,open,1983,-0.07133465682803297,0.0006236988581876122
